n,q,eta,alpha,rays,cells,max_blackbox_relative_depth_error,mean_blackbox_relative_depth_error,max_blackbox_level_residual,blackbox_function_evaluations,max_cut_recovery_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,blackbox_seconds,cut_assembly_seconds,tol_cut,tol_cone
6,3,1,-0.75,21,66,2.11892109781562e-14,7.49940570406619e-15,7.99360577730113e-14,896,3.4733738141063e-16,24,1,1,1.875,2.49561398406743,2.43956940740987,6.24275085951316,0.0061698,0.0174334,1e-09,1e-09
6,3,1.5,-0.25,21,66,2.83877164247389e-14,9.41912240166218e-15,9.2370555648813e-14,889,5.46571335200077e-16,24,1,1,1.625,2.80032599855466,2.57579098876882,6.62309666934963,0.0056904,0.0172771,1e-09,1e-09
6,3,1.5,-0.5,21,66,2.34699461276292e-14,1.05802173881602e-14,8.17124146124115e-14,889,4.69854165389251e-16,24,1,1,1.75,3.01573569075118,2.77392875713566,7.1418524744257,0.0057273,0.0176066,1e-09,1e-09
6,3,1.5,-0.75,21,66,2.53811430618853e-14,1.09172571212201e-14,9.2370555648813e-14,898,4.38530554363301e-16,24,1,1,1.875,3.23114538294767,2.97206652550247,7.62480257483432,0.0059215,0.0175083,1e-09,1e-09
7,3,0.25,-0.25,36,293,2.88464032317766e-14,1.3825248103538e-14,9.37028232783632e-14,1610,2.59669621135257e-16,133,1,1,1.625,1.7298016581826,1.72848389378777,4.3779572984612,0.0104607,0.0817048,1e-09,1e-09
7,3,0.25,-0.5,36,293,2.8421709430404e-14,1.39034987601986e-14,9.9475983006414e-14,1609,2.47177628235808e-16,133,1,1,1.75,1.86286332419665,1.86144419330991,4.97082107569099,0.0104301,0.1213913,1e-09,1e-09
7,3,0.25,-0.75,36,293,2.65555465880996e-14,1.33736134178837e-14,9.9475983006414e-14,1654,3.42022284898992e-16,133,1,1,1.875,1.99592499021069,1.99440449283205,5.52276404758661,0.0101721,0.0800996,1e-09,1e-09
7,3,0.5,-0.25,36,293,2.88804755243387e-14,1.13903694682161e-14,9.37028232783632e-14,1623,3.41107978633912e-16,133,1,1,1.625,1.85583151429255,1.84944981431642,4.91910557753583,0.0102479,0.078396,1e-09,1e-09
7,3,0.5,-0.5,36,293,2.8063517202842e-14,1.31293539170722e-14,9.81437153768638e-14,1642,3.55707400616546e-16,133,1,1,1.75,1.99858778462275,1.99171518464846,5.51196935476561,0.0100467,0.0768724,1e-09,1e-09
7,3,0.5,-0.75,36,293,2.29517651895856e-14,1.02243114954869e-14,8.61533067109121e-14,1626,4.26492862762184e-16,133,1,1,1.875,2.14134405495295,2.13398055498049,6.06391232666124,0.0099961,0.0801559,1e-09,1e-09
7,3,1,-0.25,36,293,3.02894301230797e-14,1.1238561215896e-14,9.85878045867139e-14,1622,2.73285667600039e-16,133,1,1,1.625,2.20960937157334,2.1688082691839,6.19342265589865,0.0102048,0.0802866,1e-09,1e-09
7,3,1,-0.5,36,293,2.84467926263217e-14,1.09579592963424e-14,9.9475983006414e-14,1613,2.19132788120648e-16,133,1,1,1.75,2.37957932323284,2.33563967450575,6.78628643312846,0.0099161,0.0789145,1e-09,1e-09
7,3,1,-0.75,36,293,2.63051092342205e-14,9.86096433725298e-15,9.76996261670138e-14,1622,3.01756836278938e-16,133,1,1,1.875,2.54954927489233,2.50247107982759,7.33822940502407,0.0101238,0.07843,1e-09,1e-09
7,3,1.5,-0.25,36,293,2.93673880056432e-14,1.03989097734522e-14,9.59232693276135e-14,1615,3.83178777622769e-16,133,1,1,1.625,2.8638936864495,2.68067814119376,7.88855840218381,0.0099869,0.077643,1e-09,1e-09
7,3,1.5,-0.5,36,293,2.82172533907646e-14,1.06258286445506e-14,9.9475983006414e-14,1626,3.93966957133885e-16,133,1,1,1.75,3.08419320079177,2.88688415205482,8.48142217941358,0.0101328,0.0778598,1e-09,1e-09
7,3,1.5,-0.75,36,293,2.62891313889531e-14,1.15887387882912e-14,9.9475983006414e-14,1640,4.54414082027699e-16,133,1,1,1.875,3.30449271513407,3.09309016291589,9.03336515130924,0.010703,0.0779134,1e-09,1e-09
8,3,0.25,-0.25,57,1031,3.00431934747838e-14,1.41036678956426e-14,9.74775815620887e-14,2579,3.88178984977749e-16,37,1,1,1.625,1.71960776977994,1.71847754402163,4.87294875022669,0.01608,0.2954592,1e-09,1e-09
8,3,0.25,-0.5,57,1031,2.8421709430404e-14,1.3630342937748e-14,9.9475983006414e-14,2594,4.8060255282957e-16,37,1,1,1.75,1.85188529053226,1.85066812433101,5.53992049961027,0.0158738,0.2916554,1e-09,1e-09
8,3,0.25,-0.75,57,1031,2.59934751398331e-14,1.26583680851159e-14,9.76996261670138e-14,2678,4.43092062554909e-16,37,1,1,1.875,1.98416281128455,1.98285870464035,6.16085634299276,0.016481,0.2961576,1e-09,1e-09
