n,q,eta,alpha,cells,max_relative_depth_error,mean_relative_depth_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,cut_seconds,tol_cut,tol_cone
6,3,1.5,-0.75,66,4.38530554363309e-16,5.64574312968355e-17,24,1,1,1.875,3.23114538294767,2.97206652550247,7.62480257483432,0.0262129,1e-09,1e-09
7,3,0.25,-0.25,293,3.8530074623348e-16,4.14644639996753e-17,133,1,1,1.625,1.7298016581826,1.72848389378778,4.37795729846123,0.1251104,1e-09,1e-09
7,3,0.25,-0.5,293,3.56346109211134e-16,4.60836080973109e-17,133,1,1,1.75,1.86286332419665,1.86144419330992,4.97082107569101,0.1208288,1e-09,1e-09
7,3,0.25,-0.75,293,3.47176396383405e-16,3.29639158203832e-17,133,1,1,1.875,1.9959249902107,1.99440449283205,5.52276404758662,0.1190071,1e-09,1e-09
7,3,0.5,-0.25,293,3.4222136896196e-16,3.54559310996904e-17,133,1,1,1.625,1.85583151429255,1.84944981431642,4.91910557753583,0.1206977,1e-09,1e-09
7,3,0.5,-0.5,293,3.34089490510023e-16,3.00946596834498e-17,133,1,1,1.75,1.99858778462275,1.99171518464846,5.51196935476561,0.1203549,1e-09,1e-09
7,3,0.5,-0.75,293,2.368475785867e-16,1.28241290109198e-17,133,1,1,1.875,2.14134405495295,2.13398055498049,6.06391232666122,0.1181973,1e-09,1e-09
7,3,1,-0.25,293,3.48180964937244e-16,2.16027874390208e-17,133,1,1,1.625,2.20960937157334,2.1688082691839,6.19342265589866,0.1205596,1e-09,1e-09
7,3,1,-0.5,293,3.45955159171575e-16,1.9773130168988e-17,133,1,1,1.75,2.37957932323283,2.33563967450574,6.78628643312843,0.1190949,1e-09,1e-09
7,3,1,-0.75,293,3.5527136788005e-16,1.71711504161118e-17,133,1,1,1.875,2.54954927489232,2.50247107982758,7.33822940502404,0.1202464,1e-09,1e-09
7,3,1.5,-0.25,293,3.57864128663448e-16,1.97971397520532e-17,133,1,1,1.625,2.86389368644951,2.68067814119377,7.88855840218383,0.1193854,1e-09,1e-09
7,3,1.5,-0.5,293,5.33713297403144e-16,3.18116194990953e-17,133,1,1,1.75,3.08419320079178,2.88688415205482,8.48142217941361,0.1187615,1e-09,1e-09
7,3,1.5,-0.75,293,4.54414082027696e-16,4.55093064619414e-17,133,1,1,1.875,3.30449271513405,3.09309016291588,9.03336515130922,0.1174739,1e-09,1e-09
8,3,0.25,-0.25,1031,5.17571979970319e-16,4.2062998331391e-17,37,1,1,1.625,1.71960776977995,1.71847754402164,4.87294875022672,0.4594449,1e-09,1e-09
8,3,0.25,-0.5,1031,4.74741495594551e-16,5.01019268647246e-17,37,1,1,1.75,1.85188529053225,1.850668124331,5.53992049961022,0.4616509,1e-09,1e-09
8,3,0.25,-0.75,1031,5.77123615641625e-16,7.08570935600318e-17,37,1,1,1.875,1.98416281128455,1.98285870464035,6.16085634299278,0.4681692,1e-09,1e-09
8,3,0.5,-0.25,1031,5.67432741735383e-16,6.88364029136737e-17,37,1,1,1.625,1.83185311348138,1.82626937522002,5.42047763986892,0.4620977,1e-09,1e-09
8,3,0.5,-0.5,1031,4.54202261553752e-16,5.68838709948558e-17,37,1,1,1.75,1.97276489144148,1.96675163485233,6.08744938925241,0.4507518,1e-09,1e-09
8,3,0.5,-0.75,1031,4.20706613885945e-16,3.7413556440516e-17,37,1,1,1.875,2.11367666940159,2.10723389448463,6.70838523263498,0.4462478,1e-09,1e-09
8,3,1,-0.25,1031,4.35970025855139e-16,6.28269154890985e-17,37,1,1,1.625,2.14230952588962,2.10436771621369,6.69613544701649,0.4553729,1e-09,1e-09
8,3,1,-0.5,1031,4.57766738400698e-16,3.88905957489137e-17,37,1,1,1.75,2.30710256634266,2.26624215592244,7.36310719639998,0.4565024,1e-09,1e-09
8,3,1,-0.75,1031,3.90809723802012e-16,2.15456385208857e-17,37,1,1,1.875,2.47189560679571,2.42811659563119,7.98404303978255,0.4516534,1e-09,1e-09
8,3,1.5,-0.25,1031,8.78523421548309e-16,5.07386756363392e-17,37,1,1,1.625,2.73391100318462,2.53899752136708,8.38592393848193,0.4540763,1e-09,1e-09
8,3,1.5,-0.5,1031,6.0425618780466e-16,4.45717173322202e-17,37,1,1,1.75,2.94421184958343,2.7343050230107,9.05289568786543,0.4565476,1e-09,1e-09
8,3,1.5,-0.75,1031,6.3448913778489e-16,5.71493410180163e-17,37,1,1,1.875,3.15451269598225,2.92961252465432,9.673831531248,0.4555733,1e-09,1e-09
